Codigo da IES,Fim Lucrativo,Situacao,DIAS,Cursos Sem Ato 5 anos,Ultimo CI,Ultimo IGC,EAD_17,Variacao Matricula 16/17,Matriculas 17,% FIES,CURSOS,Saldo 2017,Variacao do Saldo 16/17,Saldo 2017 Positivo,Ultimo IGC Categoria,Variacao IGC
1712,Lucrativo,Ativa,6545,0.611111111111111,3.0,2.447154573828251,1,0.709251101321586,227,0.0,3,95453.0,-0.383119526933144,True,Muito Insatisfatório,0.025802554421634306
3787,Lucrativo,Ativa,1351,0.692307692307692,3.0,1.4999,1,-0.379487179487179,390,0.0205128205128205,2,79979200.99,0.580656272024224,True,Muito Insatisfatório,0.0
1131,Lucrativo,Ativa,509,0.645161290322581,4.0,2.5972,1,-0.175687044307347,7132,0.0009814918676388,16,2381121.44,0.0,True,Muito Insatisfatório,-0.03111243751398946
2755,Lucrativo,Ativa,5956,0.565217391304348,3.0,2.277,1,0.109510086455331,1041,0.271853986551393,11,4818332.7,-0.117954586277647,True,Muito Insatisfatório,0.011011455465766776
3536,Não Lucrativo,Ativa,395,0.75,3.0,2.4415,1,0.207317073170732,82,0.0,1,-22554.53,3.90098774497332,False,Muito Insatisfatório,0.0
1322,Não Lucrativo,Ativa,164,0.46,3.0,3.2787,1,-0.226110363391655,1486,0.133243606998654,11,774597.0,0.0847958130266728,True,Adequado,0.029257573379375276
4732,Não Lucrativo,Ativa,2531,0.657142857142857,3.0,2.0395,1,-0.0086206896551723,580,0.0689655172413793,6,-4223661.39,2.06961155617241,False,Muito Insatisfatório,0.020872960256281835
3786,Lucrativo,Ativa,1098,0.720588235294118,3.0,2.3097,1,-0.304324612920448,1873,0.211425520555259,13,79979200.99,0.580656272024224,True,Muito Insatisfatório,0.0
1585,Lucrativo,Ativa,823,0.518518518518519,4.0,2.4495,1,0.126550868486352,403,0.0,4,-3136409.9,-0.0905504303780201,False,Muito Insatisfatório,-0.056542002079882844
218,Não Lucrativo,Extinta,17022,0.153846153846154,2.0,1.2663,1,0.0379146919431279,844,0.0,7,897487.75,0.240652799905969,True,Muito Insatisfatório,0.0
1508,Lucrativo,Ativa,403,0.677165354330709,4.0,2.7079,1,-0.0027726432532347,2164,0.237985212569316,25,3361790.26,0.295509516749138,True,Muito Insatisfatório,0.0016275198816349027
1736,Não Lucrativo,Ativa,2478,0.853658536585366,4.0,2.6982,1,0.0391224862888482,2735,0.123217550274223,11,-1344558.45,-0.798450977595057,False,Muito Insatisfatório,-0.023346726028884865
1677,Lucrativo,Ativa,6607,0.481481481481481,3.0,2.4549,1,-0.245433789954338,876,0.0525114155251142,7,1146775.01,0.0295000163787453,True,Muito Insatisfatório,0.12931272426166157
3514,Não Lucrativo,Ativa,6184,0.0769230769230769,3.0,2.0802683997399622,1,0.148760330578512,484,0.0,3,1546096.49,-1.76075330155559,True,Muito Insatisfatório,0.0985785803442978
4118,Lucrativo,Ativa,493,0.681818181818182,4.0,2.483,1,-0.0297897196261683,3424,0.211156542056075,12,202663687.6,-0.287348747968078,True,Muito Insatisfatório,0.012353732621192968
10588,Não Lucrativo,Ativa,3610,0.586956521739131,3.0,2.5842,1,-0.207547169811321,477,0.0,4,557791.12,-1.00455383727587,True,Muito Insatisfatório,0.0432781590633832
739,Não Lucrativo,Ativa,866,0.673076923076923,4.0,2.7727,1,-0.0015389350569405,3249,0.0483225607879347,25,7898905.05,-0.138274434389826,True,Muito Insatisfatório,0.05743488043934245
138,Não Lucrativo,Ativa,2917,0.666666666666667,4.0,2.7538,1,0.0382081686429512,4554,0.11133069828722,26,3917895.86,3.25866554455108,True,Muito Insatisfatório,0.019850381453225638
4901,Lucrativo,Ativa,4155,0.652173913043478,5.0,2.505,1,-0.045437042741625,2597,0.472468232576049,16,7714102.16,0.210204965818182,True,Muito Insatisfatório,-0.012223974763406994
1334,Lucrativo,Ativa,823,0.485714285714286,4.0,2.9694,1,0.0053151100987092,2634,0.345482156416097,7,67946547.63,0.666314142108072,True,Muito Insatisfatório,0.007840342124019923
13488,Não Lucrativo,Ativa,2833,0.394736842105263,3.0,2.4539,1,-0.162995594713656,454,0.0616740088105727,5,21500.0,0.0,True,Muito Insatisfatório,-0.1359202788830593
371,Lucrativo,Ativa,20242,0.166666666666667,3.0,1.8289,1,1.21649484536082,97,0.628865979381443,1,240437538.34,453.067159006826,True,Muito Insatisfatório,0.9604459213206132
1518,Lucrativo,Ativa,2478,0.690476190476191,3.0,2.2232,1,0.09783728115345,971,0.307929969104017,7,1052726759.1,0.189707637063632,True,Muito Insatisfatório,-0.04591880525276809
140,Não Lucrativo,Ativa,18386,0.612403100775194,4.0,2.7695,1,-0.0164454702827467,3466,0.34131563762262,17,48424627.04,1.67149915839481,True,Muito Insatisfatório,0.06376032264259648
1675,Não Lucrativo,Ativa,6604,0.388349514563107,3.0,1.9541,1,0.0724233983286908,2513,0.187823318742539,20,5475530.87,-1.07322532576975,True,Muito Insatisfatório,-0.013429595597516008
2180,Lucrativo,Ativa,6188,0.6,3.0,2.3724,1,0.143106457242583,573,0.0034904013961605,5,285434.0,-0.664776935746776,True,Muito Insatisfatório,0.0
4443,Lucrativo,Ativa,4402,0.382352941176471,3.0,2.3128,1,0.330578512396694,121,0.0661157024793388,7,-102933.66,-1.40569125214854,False,Muito Insatisfatório,0.0
1423,Lucrativo,Ativa,2840,0.55,4.0,2.8024,1,-0.142857142857143,2800,0.246428571428571,20,15863267.6,4.03386810153349,True,Muito Insatisfatório,0.2613196507336394
432,Não Lucrativo,Ativa,2413,0.789473684210526,4.0,2.4093,1,0.125,520,0.367307692307692,4,-273854.11,-0.213501578817104,False,Muito Insatisfatório,-0.0036804234554627946
4594,Não Lucrativo,Ativa,1490,0.375,4.0,2.5701,1,0.127340823970038,534,0.101123595505618,2,549122.189999999,-1.45470731745904,True,Muito Insatisfatório,0.0014026884862653605
165,Lucrativo,Ativa,2478,0.817204301075269,5.0,2.9523,1,0.0140059741121805,30130,0.236873547958845,87,322335838.98,0.100938746938588,True,Muito Insatisfatório,0.03437040151355899
2770,Lucrativo,Ativa,5352,0.455882352941176,3.0,3.533,1,-0.0973691347979387,3687,0.134797938703553,10,9590480.11,0.146200453030495,True,Adequado,-0.0010104057171502747
4496,Lucrativo,Ativa,5032,0.48,3.0,1.8501,1,-0.660944206008584,233,0.0,5,4022651.61,-0.0940554465514276,True,Muito Insatisfatório,0.0
440,Lucrativo,Ativa,2138,0.391304347826087,3.0,2.148,1,-0.137395459976105,837,0.162485065710872,3,3693160.41,-2.34880387390353,True,Muito Insatisfatório,0.0
3368,Não Lucrativo,Ativa,460,0.846153846153846,4.0,3.2478,1,-0.0476936856247201,4466,0.290864308105687,45,9822766.67000001,-1.91113255589959,True,Adequado,0.07287262156448192
